Datum,HolidayName,Holiday
2016-01-01,Neujahr,1
2016-03-25,Karfreitag,1
2016-03-28,Ostermontag,1
2016-05-01,Erster Mai,1
2016-05-05,Christi Himmelfahrt,1
2016-05-16,Pfingstmontag,1
2016-10-03,Tag der Deutschen Einheit,1
2016-12-25,Erster Weihnachtstag,1
2016-12-26,Zweiter Weihnachtstag,1
2017-01-01,Neujahr,1
2017-04-14,Karfreitag,1
2017-04-17,Ostermontag,1
2017-05-01,Erster Mai,1
2017-05-25,Christi Himmelfahrt,1
2017-06-05,Pfingstmontag,1
2017-10-03,Tag der Deutschen Einheit,1
2017-12-25,Erster Weihnachtstag,1
2017-12-26,Zweiter Weihnachtstag,1
2017-10-31,Reformationstag,1
2012-01-01,Neujahr,1
2012-04-06,Karfreitag,1
2012-04-09,Ostermontag,1
2012-05-01,Erster Mai,1
2012-05-17,Christi Himmelfahrt,1
2012-05-28,Pfingstmontag,1
2012-10-03,Tag der Deutschen Einheit,1
2012-12-25,Erster Weihnachtstag,1
2012-12-26,Zweiter Weihnachtstag,1
2013-01-01,Neujahr,1
2013-03-29,Karfreitag,1
2013-04-01,Ostermontag,1
2013-05-01,Erster Mai,1
2013-05-09,Christi Himmelfahrt,1
2013-05-20,Pfingstmontag,1
2013-10-03,Tag der Deutschen Einheit,1
2013-12-25,Erster Weihnachtstag,1
2013-12-26,Zweiter Weihnachtstag,1
2014-01-01,Neujahr,1
2014-04-18,Karfreitag,1
2014-04-21,Ostermontag,1
2014-05-01,Erster Mai,1
2014-05-29,Christi Himmelfahrt,1
2014-06-09,Pfingstmontag,1
2014-10-03,Tag der Deutschen Einheit,1
2014-12-25,Erster Weihnachtstag,1
2014-12-26,Zweiter Weihnachtstag,1
2015-01-01,Neujahr,1
2015-04-03,Karfreitag,1
2015-04-06,Ostermontag,1
2015-05-01,Erster Mai,1
2015-05-14,Christi Himmelfahrt,1
2015-05-25,Pfingstmontag,1
2015-10-03,Tag der Deutschen Einheit,1
2015-12-25,Erster Weihnachtstag,1
2015-12-26,Zweiter Weihnachtstag,1
